1, SAT, HP, 199101,1.234375,20,42
1, SAT, HP, 199803,1.4965667,29,60
1, SAT, HP, 199911,1.8135693,32,47
1, SAT, MQ, 201105,0.19411767,4,19
1, SAT, MQ, 201402,0.111764714,2,15
1, SAT, NW, 200006,0.58067995,13,21
1, SAT, NW, 200303,0.016393442,1,27
1, SAT, NW, 200411,0.84560734,24,39
1, SAT, NW, 200708,0.035876624,3,14
1, SAT, OO, 200505,0.9701494,25,77
1, SAT, OO, 200802,0.45264715,11,35
1, SAT, OO, 200910,0.8435615,20,48
1, SAT, OO, 201207,1.2396034,35,86
1, SAT, OO, 201504,1.6587323,43,115
1, SAT, TW, 198902,0.38194442,7,18
1, SAT, TW, 199010,0.040816326,1,4
1, SAT, TW, 199307,0.84334123,18,45
1, SAT, TW, 199604,1.0981681,25,72
1, SAT, TW, 199712,0.5839531,11,23
1, SAT, TW, 199901,0.73865736,15,42
1, SAT, TW, 200009,0.23188406,5,19
1, SAT, UA, 199001,1.4568223,30,87
1, SAT, UA, 199109,1.5625148,30,65
1, SAT, UA, 199406,2.3460665,50,94
1, SAT, UA, 199703,2.6302438,57,117
1, SAT, UA, 199811,2.1276705,53,118
1, SAT, UA, 200108,2.067805,36,84
1, SAT, UA, 200405,1.995844,41,119
1, SAT, UA, 200702,1.2632955,28,69
1, SAT, UA, 200810,0.89199454,18,58
1, SAT, UA, 201107,0.55445564,8,18
1, SAT, UA, 201404,0.34292924,10,31
1, SAT, US, 199010,1.4482758,14,60
1, SAT, US, 199307,0.4,4,31
1, SAT, US, 199604,0.096618354,3,7
1, SAT, US, 200711,0.2155983,5,18
1, SAT, US, 201305,0.16182573,4,15
1, SAT, WN, 199007,6.339391,62,175
1, SAT, WN, 199304,10.231007,93,281
1, SAT, WN, 199412,15.526075,147,324
1, SAT, WN, 199601,14.070846,126,374
1, SAT, WN, 199709,5.47697,55,215
1, SAT, WN, 200006,8.799596,64,168
1, SAT, WN, 200303,4.9188285,64,217
1, SAT, WN, 200411,3.328454,44,176
1, SAT, WN, 200708,1.7546258,31,114
1, SAT, WN, 201005,1.5722692,33,133
1, SAT, WN, 201302,3.361913,76,289
1, SAT, WN, 201410,1.3896695,24,139
1, SAT, XE, 200704,0.049261082,1,4
1, SAT, XE, 201001,0.8148148,9,25
1, SAT, XE, 201109,0.3877551,2,25
1, SAT, YV, 200602,1.4881618,33,139
1, SAT, YV, 200710,0.090090096,4,21
1, SAT, YV, 201007,0.07035176,2,16
1, SAT, YV, 201304,0.0,0,1
1, SBP, MQ, 200403,0.9740259,8,44
1, SBP, MQ, 200511,1.709091,14,24
1, SBP, OO, 200505,0.6296296,8,26
1, SBP, OO, 200802,0.4363636,6,13
1, SBP, OO, 200910,0.0,0,1
1, SBP, OO, 201504,0.0,0,16
1, SBP, YV, 200602,0.766137,12,46
1, SLC, AA, 198910,1.9848659,24,94
1, SLC, AA, 199504,0.7274232,18,25
1, SLC, AA, 199612,0.0,0,11
1, SLC, AA, 199909,0.17038812,5,26
1, SLC, AA, 200206,0.1584541,4,24
1, SLC, AA, 200503,0.10952382,5,21
1, SLC, AA, 200908,0.0,0,6
1, SLC, AS, 201403,0.43333334,10,59
1, SLC, B6, 200303,0.37874925,11,43
1, SLC, B6, 200411,0.22669552,5,56
1, SLC, B6, 200708,1.6410145,32,103
1, SLC, B6, 201302,0.06962839,4,24
1, SLC, B6, 201410,0.5629283,11,53
1, SLC, CO, 199905,0.17905405,7,21
1, SLC, CO, 200202,0.43615377,15,35
1, SLC, CO, 200310,0.20344828,9,23
1, SLC, CO, 200904,0.0,0,1
1, SLC, CO, 201012,0.12642857,3,9
1, SLC, DL, 199004,40.815952,676,1188
1, SLC, DL, 199112,37.024334,582,1031
1, SLC, DL, 199301,30.105467,503,1076
1, SLC, DL, 199409,32.44512,548,1150
